Output for Apriori algorithm C++ program

Item     Frequency              Support
frozen vegetables shrimp        125             1.66644%
frozen vegetables soup  60              0.799893%
frozen vegetables spaghetti     209             2.7863%
frozen vegetables tomatoes      121             1.61312%
frozen vegetables turkey        66              0.879883%
frozen vegetables whole wheat rice      68              0.906546%
grated cheese green tea         59              0.786562%
grated cheese ground beef       85              1.13318%
grated cheese herb & pepper     49              0.653246%
grated cheese honey     31              0.413278%
grated cheese low fat yogurt    42              0.559925%
grated cheese milk      59              0.786562%
grated cheese mineral water     131             1.74643%
grated cheese olive oil         47              0.626583%
grated cheese pancakes  52              0.693241%
grated cheese salmon    39              0.519931%
grated cheese shrimp    33              0.439941%
grated cheese soup      22              0.293294%
grated cheese spaghetti         124             1.65311%
grated cheese tomatoes  33              0.439941%
grated cheese turkey    37              0.493268%
grated cheese whole wheat rice  34              0.453273%
green tea ground beef   111             1.4798%
green tea herb & pepper         48              0.639915%
green tea honey         70              0.933209%
green tea low fat yogurt        57              0.759899%
green tea milk  132             1.75977%
green tea mineral water         233             3.10625%
green tea olive oil     75              0.999867%
green tea pancakes      123             1.63978%
green tea salmon        44              0.586588%
green tea shrimp        86              1.14651%
green tea soup  53              0.706572%
green tea spaghetti     199             2.65298%
green tea tomatoes      92              1.2265%
green tea turkey        89              1.18651%
green tea whole wheat rice      68              0.906546%
ground beef herb & pepper       120             1.59979%
ground beef honey       51              0.679909%
ground beef low fat yogurt      72              0.959872%
ground beef milk        165             2.19971%
ground beef mineral water       307             4.09279%
ground beef olive oil   106             1.41314%
ground beef pancakes    109             1.45314%
ground beef salmon      67              0.893214%
ground beef shrimp      86              1.14651%
ground beef soup        73              0.973204%
ground beef spaghetti   294             3.91948%
ground beef tomatoes    88              1.17318%
ground beef turkey      69              0.919877%
ground beef whole wheat rice    61              0.813225%
herb & pepper honey     24              0.319957%
herb & pepper low fat yogurt    44              0.586588%
herb & pepper milk      69              0.919877%
herb & pepper mineral water     128             1.70644%
herb & pepper olive oil         38              0.506599%
herb & pepper pancakes  55              0.733236%
herb & pepper salmon    29              0.386615%
herb & pepper shrimp    53              0.706572%
herb & pepper soup      27              0.359952%
herb & pepper spaghetti         122             1.62645%
herb & pepper tomatoes  33              0.439941%
herb & pepper turkey    36              0.479936%
herb & pepper whole wheat rice  25              0.333289%
honey low fat yogurt    30              0.399947%
honey milk      58              0.77323%
honey mineral water     113             1.50647%
honey olive oil         36              0.479936%
honey pancakes  50              0.666578%
honey salmon    26              0.34662%
honey shrimp    33              0.439941%
honey soup      24              0.319957%
honey spaghetti         89              1.18651%
honey tomatoes  40              0.533262%
honey turkey    43              0.573257%
honey whole wheat rice  29              0.386615%
low fat yogurt milk     99              1.31982%
low fat yogurt mineral water    180             2.39968%
low fat yogurt olive oil        51              0.679909%
low fat yogurt pancakes         71              0.94654%
low fat yogurt salmon   29              0.386615%
low fat yogurt shrimp   47              0.626583%
low fat yogurt soup     43              0.573257%
low fat yogurt spaghetti        114             1.5198%
low fat yogurt tomatoes         45              0.59992%
low fat yogurt turkey   38              0.506599%
low fat yogurt whole wheat rice         49              0.653246%
milk mineral water      360             4.79936%
milk olive oil  128             1.70644%
milk pancakes   124             1.65311%
milk salmon     73              0.973204%
milk shrimp     132             1.75977%
milk soup       114             1.5198%
milk spaghetti  266             3.54619%
milk tomatoes   105             1.39981%
milk turkey     85              1.13318%
milk whole wheat rice   89              1.18651%
mineral water olive oil         207             2.75963%
mineral water pancakes  253             3.37288%
mineral water salmon    128             1.70644%
mineral water shrimp    177             2.35969%
mineral water soup      173             2.30636%
mineral water spaghetti         448             5.97254%
mineral water tomatoes  183             2.43967%
mineral water turkey    144             1.91974%
mineral water whole wheat rice  151             2.01306%
olive oil pancakes      81              1.07986%
olive oil salmon        43              0.573257%
olive oil shrimp        61              0.813225%
olive oil soup  67              0.893214%
olive oil spaghetti     172             2.29303%
olive oil tomatoes      54              0.719904%
olive oil turkey        40              0.533262%
olive oil whole wheat rice      26              0.34662%
pancakes salmon         32              0.42661%
pancakes shrimp         79              1.05319%
pancakes soup   51              0.679909%
pancakes spaghetti      189             2.51966%
pancakes tomatoes       74              0.986535%
pancakes turkey         72              0.959872%
pancakes whole wheat rice       52              0.693241%
salmon shrimp   35              0.466604%
salmon soup     24              0.319957%
salmon spaghetti        101             1.34649%
salmon tomatoes         37              0.493268%
salmon turkey   31              0.413278%
salmon whole wheat rice         21              0.279963%
shrimp soup     42              0.559925%
shrimp spaghetti        159             2.11972%
shrimp tomatoes         84              1.11985%
shrimp turkey   48              0.639915%
shrimp whole wheat rice         44              0.586588%
soup spaghetti  107             1.42648%
soup tomatoes   52              0.693241%
soup turkey     37              0.493268%
soup whole wheat rice   27              0.359952%
spaghetti tomatoes      157             2.09305%
spaghetti turkey        124             1.65311%
spaghetti whole wheat rice      106             1.41314%
tomatoes turkey         49              0.653246%
tomatoes whole wheat rice       45              0.59992%
turkey whole wheat rice         53              0.706572%
Removing all items below given support


Item     Frequency              Support
chocolate,mineral water,                395             5.26596%
eggs,mineral water,             382             5.09265%
ground beef,mineral water,              307             4.09279%
milk,mineral water,             360             4.79936%
mineral water,spaghetti,                448             5.97254%
